Unnamed: 0,question,answer,context,questions,hallucination_detected,verdict,severity,confidence,unsupported_claims,contradicted_claims,fabricated_details,supported_claims,reasoning,raw_llm_response
222,What is the process for opening a joint Openbank account with someone from Canada living in Vancouver as per their banking policy?,"To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions.",What is the process for opening a joint Openbank account with someone from Canada living in Vancouver as per their banking policy?,,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
235,What is the process for opening an Openbank account for individuals residing in South Africa if they have obtained a temporary visa as per their banking policy?,"Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions.",What is the process for opening an Openbank account for individuals residing in South Africa if they have obtained a temporary visa as per their banking policy?,,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
253,"Is it possible to rename my Openbank account while also removing the joint account owner, a former Olympic athlete who won multiple gold medals in swimming during the 1990s?","To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. To update or remove a joint account owner, please say 'speak to agent' or press 0.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","Is it possible to rename my Openbank account while also removing the joint account owner, a former Olympic athlete who won multiple gold medals in swimming during the 1990s?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
254,"Is it possible to change the name on an Openbank account without informing the joint account owner, a certified nutritionist specializing in plant-based diets and meal planning strategies since the 1990s?","To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Add, remove biometrics: Apple Face ID, Touch ID, Android fingerprint ID** A trusted mobile device is required, biometrics are strongly recommended. Openbank strongly recommends enabling fingerprint or facial recognition biometrics, as it provides you with an extra layer of security and streamlines access to your account. To add biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to add Face ID or Touch ID. If you're using an Android device, follow the prompts to add fingerprint ID biometrics. We've created step-by-step demos for both Apple and Android devices. If you have an apple device, visit openbank.us forward slash apple dash setup. If you're using an Android device, please visit openbank.us forward slash android dash setup. To remove biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to remove Face ID or Touch ID. If you're using an Android device, follow the prompts to remove fingerprint ID biometrics. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions.","Is it possible to change the name on an Openbank account without informing the joint account owner, a certified nutritionist specializing in plant-based diets and meal planning strategies since the 1990s?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
255,"Is it possible to update my Openbank account's name while also removing the joint account owner, a celebrated chef known for their innovative culinary techniques that have been featured on international television networks since the 1990s?","To update your name, please say 'speak to agent' or press 0. To remove a joint account owner, please say 'speak to agent' or press 0.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","Is it possible to update my Openbank account's name while also removing the joint account owner, a celebrated chef known for their innovative culinary techniques that have been featured on international television networks since the 1990s?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
258,What is the process for opening an Openbank account for individuals living in New Zealand as per their banking policy?,"Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions.",What is the process for opening an Openbank account for individuals living in New Zealand as per their banking policy?,,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
278,"What are the daily limits for deposits made using a third-party payment processor like ""AlphaPay"" for accounts that have been flagged for potential fraudulent activity since December 15, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-502719-",,"What are the daily limits for deposits made using a third-party payment processor like ""AlphaPay"" for accounts that have been flagged for potential fraudulent activity since December 15, 2022?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
282,"How does Openbank's account opening process differ from other online banks, particularly in terms of required documentation and verification time, which is reported to be significantly faster than industry standards post-2022?","Openbank's account opening process is similar to other online banks in terms of required documentation and verification time. To open a high yield savings account, you need to be at least 18 years old, have a U.S. mobile phone number, make a minimum initial deposit of $500, and download the Openbank app onto a smartphone, which will become your trusted mobile device. The process usually takes less than 5 minutes.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","How does Openbank's account opening process differ from other online banks, particularly in terms of required documentation and verification time, which is reported to be significantly faster than industry standards post-2022?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
306,"Is it possible to rename my Openbank account while also removing the joint account owner, a distinguished geologist known for their groundbreaking discoveries about subterranean ecosystems since the early 20th century?","To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. To update or remove a joint account owner, please say 'speak to agent' or press 0.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","Is it possible to rename my Openbank account while also removing the joint account owner, a distinguished geologist known for their groundbreaking discoveries about subterranean ecosystems since the early 20th century?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
335,"What are the daily limits for deposits made using digital wallets like ""EcoPay"" for accounts that have been flagged for potential fraudulent activity since January 1, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-502499-",,"What are the daily limits for deposits made using digital wallets like ""EcoPay"" for accounts that have been flagged for potential fraudulent activity since January 1, 2022?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
